"用户代码","成交合约","买卖","开平","成交价格","手数","成交类型","手续费","成交时间","报单编号","交易所","合约名","成交编号","平仓盈亏(逐笔)","平仓盈亏"
"13554506590","p2605","　卖","开仓","8528","3","普通成交","7.50","02:41:08","a292f9aa-a199-40b2-93ce-54a6cd5493c7","大商所","棕榈2605","928f7308cff04dd88598cce6388c6f79","0.00","0.00"
"13554506590","j2601","　卖","开仓","1594.5","4","普通成交","41.82","02:41:08","9bd74b6d-1bf0-470d-89db-78ef5d3beb94","大商所","焦炭2601","7d31140b22f04f599515c23714f20563","0.00","0.00"
"13554506590","eg2601","买　","开仓","3623","2","普通成交","8.00","02:41:08","48bde54e-05fd-4ad4-a0e8-6f1a9a406684","大商所","甘醇2601","672ad1dbbcd448f8980f0a32e53ceeee","0.00","0.00"
"13554506590","i2605","　卖","平仓","774.0","1","普通成交","7.78","02:49:16","41ecddb1-dac2-489a-be06-e58ca2179918","大商所","铁矿2605","360111d4a8394f9fb61084dde75e8320","0.00","0.00"
"13554506590","i2605","　卖","平仓","773.5","2","普通成交","15.55","02:47:16","f0296de1-01c6-46f7-b4c9-73e09efd1d7e","大商所","铁矿2605","d96d06cc9b014169a1272c9c5e336f1b","0.00","0.00"
"13554506590","ag2602","买　","平今","17440","1","普通成交","12.22","02:46:42","fd0b766b-e1b5-4f26-b385-bf3ca9a541ae_closetoday","上期所","沪银2602","a67fcac048ad4a2b96250c6032c148c4","0.00","0.00"
"13554506590","zn2601","　卖","平今","23185","2","普通成交","6.00","02:41:19","96c09c0c-22b7-4c51-a0d8-5a9bc407efbf_closetoday","上期所","沪锌2601","a781088e2ba449f7807e1d5293942b02","0.00","0.00"
"13554506590","j2601","买　","平仓","1600.0","1","普通成交","10.42","09:06:13","1766480749.4.0","大商所","焦炭2601","925b270ed1f2437a90fc7103edc8d860","0.00","0.00"
"13554506590","j2601","买　","平仓","1593.0","1","普通成交","10.46","02:46:41","5172b85c-2890-4866-bc58-358fa10e3147","大商所","焦炭2601","15f327c6014c4b359dadea1ee4acaceb","0.00","0.00"
"13554506590","i2605","买　","开仓","773.5","3","普通成交","23.33","01:52:19","5c197c33-a99a-43f9-94ba-26a628890a89","大商所","铁矿2605","33bb25c0b3934f818e9675c6a56280a3","0.00","0.00"
"13554506590","i2605","　卖","平仓","774.0","1","普通成交","7.78","02:49:16","9f73949e-f969-4e05-933f-0c386b32e134","大商所","铁矿2605","83806a39049e43b8b5264464e702d751","0.00","0.00"
"13554506590","ag2602","　卖","开仓","17440","2","普通成交","24.43","02:46:44","88a62693-5792-4564-993c-f810f245a291","上期所","沪银2602","6438e00da98d4ebf958f159d36913181","0.00","0.00"
"13554506590","ag2602","　卖","开仓","17431","1","普通成交","12.22","02:41:08","8d0bdb14-ddb2-4be8-a254-a7946e46c38a","上期所","沪银2602","659572a9f66c4f739cb5097ff0393f39","0.00","0.00"
"13554506590","ru2605","买　","平仓","15425","1","普通成交","6.88","01:52:19","8f14388b-073e-4753-95d2-dab77a351e57_close","上期所","橡胶2605","1cacf3261eaa491b84c8f186ebb590bb","0.00","0.00"
